country,question_id,question_text,response,validation_status,evidence_count,evidence_ids,document_ids,pages,response_id,run_id,prompt_version,question_version
gana,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital em seus documentos curriculares por meio de diversos padrões de conteúdo e competências essenciais. As competências incluem 'Criatividade e Inovação', 'Comunicação e Colaboração', 'Cidadania Cultural e Global', 'Desenvolvimento Pessoal e Liderança', e 'Literacia Digital'. Cada uma dessas competências está acompanhada por práticas específicas que os alunos devem demonstrar em diferentes contextos, como o uso de tecnologias de informação e comunicação, programação e segurança da informação.",candidate,3,EVID_GANA_Q01_GH_001_P0032_001; EVID_GANA_Q01_GH_001_P0057_002; EVID_GANA_Q01_GH_002_P0025_003,GH_001; GH_002,GH_001:p32; GH_001:p57-58; GH_002:p25-26,RESP_GANA_Q01_20260912T142704Z,RUN_GANA_20260912T142704Z,rag-country-v3.2,3.0
hong-kong,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Hong Kong, as competências de Computação e Educação Digital são integradas em documentos curriculares, incluindo o ensino sobre acesso à Internet, serviços e aplicações, e design de páginas web. Os alunos aprendem a navegar pela Internet, analisar criticamente a confiabilidade das informações, e aplicar medidas de segurança. Além disso, há uma ênfase no uso seguro e ético das tecnologias de informação.",candidate,2,EVID_HONG_KONG_Q01_HK_002_P0032_001; EVID_HONG_KONG_Q01_HK_001_P0058_002,HK_001; HK_002,HK_002:p32; HK_001:p58-59,RESP_HONG_KONG_Q01_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,rag-country-v3.2,3.0
irlanda,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O currículo de Computação na Irlanda organiza as competências em três estratos: Práticas e Princípios, Conceitos Centrais e Computação na Prática. Essas competências estão interligadas e são aplicadas por meio de tarefas de aprendizagem prática ao longo do curso.",candidate,1,EVID_IRLANDA_Q01_IE_001_P0010_001,IE_001,IE_001:p10-12,RESP_IRLANDA_Q01_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,rag-country-v3.2,3.0
japao,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Japão organiza as competências de Computação e Educação Digital em seus documentos curriculares através da definição de objetivos claros e da incorporação de tecnologias de informação em diversas disciplinas, visando ao desenvolvimento de habilidades para participação ativa na sociedade da informação.",candidate,2,EVID_JAPAO_Q01_JP_001_P0191_001; EVID_JAPAO_Q01_JP_001_P0192_002,JP_001,JP_001:p191-192; JP_001:p192,RESP_JAPAO_Q01_20260912T143439Z,RUN_JAPAO_20260912T143439Z,rag-country-v3.2,3.0
nova-zelandia,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Nova Zelândia organiza as competências de Computação e Educação Digital em seus documentos curriculares através de um currículo de tecnologia que inclui três áreas principais: prática tecnológica, conhecimento tecnológico e a natureza da tecnologia. Dois dos cinco domínios tecnológicos são as tecnologias digitais, que abordam o design e o desenvolvimento de resultados digitais e o pensamento computacional para tecnologias digitais, os quais são suportados por resultados de progresso.",candidate,1,EVID_NOVA_ZELANDIA_Q01_NZ_001_P0012_001,NZ_001,NZ_001:p12-14,RESP_NOVA_ZELANDIA_Q01_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,rag-country-v3.2,3.0
quenia,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital por meio de um currículo orientado a competências que busca inspirar a imaginação dos alunos e a aplicação de habilidades digitais. A literacia digital é considerada uma competência abrangente que inclui o uso efetivo e seguro de dispositivos digitais e a adesão aos protocolos de comportamento ético. Há um foco significativo no desenvolvimento de competências em vez de conteúdos, permitindo que os educadores adaptem o ensino às necessidades dos alunos.",candidate,2,EVID_QUENIA_Q01_KE_001_P0025_001; EVID_QUENIA_Q01_KE_001_P0027_002,KE_001,KE_001:p25; KE_001:p27,RESP_QUENIA_Q01_20260912T143913Z,RUN_QUENIA_20260912T143913Z,rag-country-v3.2,3.0
reino-unido,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Os documentos curriculares do Reino Unido definem e organizam as competências de Computação e Educação Digital através de objetivos claros e conteúdos específicos para diferentes etapas do ensino. Os alunos devem ser capacitados a entender e aplicar princípios fundamentais da ciência da computação, desenvolver habilidades de resolução de problemas e utilizar tecnologias digitais de maneira adequada e responsável.",candidate,2,EVID_REINO_UNIDO_Q01_UK_001_P0001_001; EVID_REINO_UNIDO_Q01_UK_002_P0001_002,UK_001; UK_002,UK_001:p1-2; UK_002:p1-2,RESP_REINO_UNIDO_Q01_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,rag-country-v3.2,3.0
ruanda,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Ruanda, as competências de Computação e Educação Digital são definidas e organizadas em documentos curriculares através de uma abordagem baseada em competências. Os alunos são capacitados a desenvolver diferentes competências de TIC, incluindo programação, uso de software de planilhas e ferramentas de apresentação. O currículo é estruturado para promover não apenas habilidades tecnológicas, mas também raciocínio crítico e soluções para problemas sociais e econômicos.",candidate,3,EVID_RUANDA_Q01_RW_001_P0008_001; EVID_RUANDA_Q01_RW_001_P0009_002; EVID_RUANDA_Q01_RW_001_P0008_003,RW_001,RW_001:p8; RW_001:p9; RW_001:p8-9,RESP_RUANDA_Q01_20260912T144341Z,RUN_RUANDA_20260912T144341Z,rag-country-v3.2,3.0
singapura,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Singapura, as competências de Computação e Educação Digital são definidas por meio de um currículo detalhado e prescritivo, abrangendo uma disciplina central com um foco particular no pensamento computacional. Este currículo inclui objetivos claros sobre o que ensinar, como ensinar e como avaliar. Além disso, o pensamento computacional é considerado uma competência central, desenvolvendo o raciocínio crítico, a resolução de problemas e a apreciação das questões éticas e sociais relacionadas à tecnologia.",candidate,2,EVID_SINGAPURA_Q01_SG_015_P0003_001; EVID_SINGAPURA_Q01_SG_016_P0004_002,SG_015; SG_016,SG_015:p3; SG_016:p4,RESP_SINGAPURA_Q01_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z,rag-country-v3.2,3.0
suica,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Suíça define e organiza as competências de Computação e Educação Digital em seus documentos curriculares, enfatizando o desenvolvimento de uma utilização responsável e eficiente de ambientes digitais, bem como a capacidade de pesquisa e criação de conteúdo. Os alunos são incentivados a analisar informações, entender as funcionalidades dos meios digitais e programar soluções computacionais.",candidate,3,EVID_SUICA_Q01_CH_001_P0001_001; EVID_SUICA_Q01_CH_003_P0011_002; EVID_SUICA_Q01_CH_003_P0012_003,CH_001; CH_003,CH_001:p1; CH_003:p11; CH_003:p12,RESP_SUICA_Q01_20260912T144840Z,RUN_SUICA_20260912T144840Z,rag-country-v3.2,3.0
taiwan,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Taiwan organiza as competências de Computação e Educação Digital em seus documentos curriculares através de uma estrutura que inclui o ensino de algoritmos, programação e segurança da informação, além da ética e responsabilidade social relacionadas à tecnologia.",candidate,3,EVID_TAIWAN_Q01_TW_001_P0015_001; EVID_TAIWAN_Q01_TW_001_P0015_002; EVID_TAIWAN_Q01_TW_001_P0015_003,TW_001,TW_001:p15; TW_001:p15; TW_001:p15,RESP_TAIWAN_Q01_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,rag-country-v3.2,3.0
uruguai,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares por meio da identificação de competências específicas que incluem o uso de tecnologias digitais e a resolução de problemas, promovendo a comunicação, pensamento crítico e cidadania digital.",candidate,3,EVID_URUGUAI_Q01_UY_003_P0009_001; EVID_URUGUAI_Q01_UY_003_P0010_002; EVID_URUGUAI_Q01_UY_003_P0009_003,UY_003,UY_003:p9-11; UY_003:p10; UY_003:p9-10,RESP_URUGUAI_Q01_20260912T145323Z,RUN_URUGUAI_20260912T145323Z,rag-country-v3.2,3.0
africa-do-sul,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?",O Pensamento Computacional é incorporado ao currículo através do desenvolvimento de soluções específicas que incluem o pensamento computacional e a aplicação de princípios de engenharia de software.,candidate,2,EVID_AFRICA_DO_SUL_Q02_AF_ZA_02_P0031_001; EVID_AFRICA_DO_SUL_Q02_AF_ZA_01_P0045_002,AF-ZA-01; AF-ZA-02,AF-ZA-02:p31-32; AF-ZA-01:p45-46,RESP_AFRICA_DO_SUL_Q02_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z,rag-country-v3.2,3.0
australia,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é integrado ao currículo australiano na forma de Sequência de Conteúdo nas Tecnologias Digitais, abrangendo o reconhecimento, exploração, representação e manipulação de dados, além da descrição e implementação de algoritmos simples até complexos ao longo do percurso escolar. Estudantes aprendem a utilizar ferramentas digitais para criar, localizar e compartilhar conteúdo, respeitando convenções acordadas.",candidate,3,EVID_AUSTRALIA_Q02_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q02_OC_AU_01_P0001_002; EVID_AUSTRALIA_Q02_OC_AU_02_P0001_003,OC-AU-01; OC-AU-02,OC-AU-01:p1; OC-AU-01:p1; OC-AU-02:p1-2,RESP_AUSTRALIA_Q02_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,rag-country-v3.2,3.0
brasil,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo do Brasil desde a Educação Infantil até o Ensino Médio, com foco no desenvolvimento de competências digitais e na aplicação de conceitos de computação em diversas disciplinas.",candidate,3,EVID_BRASIL_Q02_BR_018_P0011_001; EVID_BRASIL_Q02_BR_008_P0024_002; EVID_BRASIL_Q02_BR_004_P0468_003,BR_004; BR_008; BR_018,BR_018:p11; BR_008:p24-25; BR_004:p468-469,RESP_BRASIL_Q02_20260912T140932Z,RUN_BRASIL_20260912T140932Z,rag-country-v3.2,3.0
canada,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","No currículo do Canadá, o Pensamento Computacional é definido e incorporado através de expectativas claras para que os alunos aprendam a resolver problemas que incluem codificação e algoritmos. Isso é uma atualização em relação ao currículo anterior, que não mencionava o pensamento computacional.",candidate,1,EVID_CANADA_Q02_CA_001_P0002_001,CA_001,CA_001:p2,RESP_CANADA_Q02_20260912T141201Z,RUN_CANADA_20260912T141201Z,rag-country-v3.2,3.0
chile,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é desenvolvido no currículo do Chile por meio de uma rota de aprendizagem baseada em competências que inclui habilidades como secuencialidade, condições, repetição e descomposição de problemas. Esta abordagem foi formulada pelo Ministério da Educação em colaboração com a Universidade de Chile.",candidate,2,EVID_CHILE_Q02_CL_005_P0002_001; EVID_CHILE_Q02_CL_005_P0004_002,CL_005,CL_005:p2-4; CL_005:p4,RESP_CHILE_Q02_20260912T141439Z,RUN_CHILE_20260912T141439Z,rag-country-v3.2,3.0
china,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é integrado ao currículo da China através da identificação e análise de sistemas presentes no cotidiano, utilizando a tecnologia da informação para solucionar problemas, promovendo a construção do conhecimento de maneira prática e interativa.",candidate,2,EVID_CHINA_Q02_AS_CN_01_P0039_001; EVID_CHINA_Q02_AS_CN_01_P0009_002,AS-CN-01,AS-CN-01:p39; AS-CN-01:p9-10,RESP_CHINA_Q02_20260912T141700Z,RUN_CHINA_20260912T141700Z,rag-country-v3.2,3.0
coreia-do-sul,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?",O Pensamento Computacional na Coreia do Sul é incorporado ao currículo educacional através do planejamento e desenvolvimento de um ambiente de educação centrado na utilização das tecnologias da informação e comunicação (TIC). O 6º plano básico para a educação em TIC enfatiza a criação de um ambiente educacional inteligente que se adapta às necessidades dos alunos e promove uma contínua evolução dos métodos de ensino e aprendizagem.,candidate,2,EVID_COREIA_DO_SUL_Q02_KR_001_P0041_001; EVID_COREIA_DO_SUL_Q02_KR_001_P0057_002,KR_001,KR_001:p41; KR_001:p57,RESP_COREIA_DO_SUL_Q02_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,rag-country-v3.2,3.0
estonia,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é promovido por meio de temas como ""Digiseade töövahendina"", que se concentra em fornecer habilidades básicas de computação. Os alunos aprendem a usar computadores para produção de textos, pesquisa de informações e trabalho com dados, de acordo com normas predefinidas. Além disso, há um enfoque em ""Digihügieen"", onde os alunos aprendem a gerenciar sua identidade digital, avaliar criticamente o conteúdo online e aplicar medidas de segurança digital.",candidate,2,EVID_ESTONIA_Q02_EU_EE_02_P0001_001; EVID_ESTONIA_Q02_EU_EE_02_P0001_002,EU-EE-02,EU-EE-02:p1; EU-EE-02:p1,RESP_ESTONIA_Q02_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,rag-country-v3.2,3.0
eua,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é definido como um processo de resolução de problemas que envolve o design de soluções aproveitando o poder dos computadores. Ele é desenvolvido através do ensino da ciência da computação, que é intrinsecamente conectado ao ensino de Pensamento Computacional, promovendo habilidades como formulação de problemas e design de algoritmos que podem ser executados por um computador.",candidate,2,EVID_EUA_Q02_US_001_P0079_001; EVID_EUA_Q02_US_001_P0021_002,US_001,US_001:p79-80; US_001:p21,RESP_EUA_Q02_20260912T142218Z,RUN_EUA_20260912T142218Z,rag-country-v3.2,3.0
finlandia,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional está incorporado como uma das competências transversais definidas no currículo nacional da Finlândia, que inclui raciocínio e aprendizagem para aprender, competência intercultural e competências em TIC.",candidate,1,EVID_FINLANDIA_Q02_FI_001_P0001_001,FI_001,FI_001:p1-2,RESP_FINLANDIA_Q02_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,rag-country-v3.2,3.0
gana,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é abordado no currículo de Gana por meio do ensino de programação e habilidades de resolução de problemas, com ênfase em competências como criatividade e inovação.",candidate,2,EVID_GANA_Q02_GH_001_P0082_001; EVID_GANA_Q02_GH_002_P0002_002,GH_001; GH_002,GH_001:p82; GH_002:p2,RESP_GANA_Q02_20260912T142704Z,RUN_GANA_20260912T142704Z,rag-country-v3.2,3.0
hong-kong,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é integrado ao currículo de Hong Kong por meio do ensino de codificação, que é usado para desenvolver habilidades de resolução de problemas, criatividade e pensamento computacional. Através da aplicação de jogos e software de codificação, os alunos são incentivados a entender conceitos básicos de codificação e a desenvolver habilidades de pensamento computacional.",candidate,2,EVID_HONG_KONG_Q02_HK_001_P0146_001; EVID_HONG_KONG_Q02_HK_001_P0213_002,HK_001,HK_001:p146; HK_001:p213,RESP_HONG_KONG_Q02_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,rag-country-v3.2,3.0
irlanda,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é uma parte fundamental do currículo de Ciência da Computação na Irlanda, sendo definido como um processo de resolução de problemas que envolve a concepção de soluções que exploram o poder dos computadores. Os estudantes devem demonstrar capacidade de descrever problemas de forma sistemática, utilizando a abstração para identificar tarefas e selecionar estratégias apropriadas para gerar soluções. Além disso, eles devem desenvolver algoritmos e examiná-los quanto à eficiência e utilização em diversas situações.",candidate,2,EVID_IRLANDA_Q02_IE_001_P0020_001; EVID_IRLANDA_Q02_IE_001_P0020_002,IE_001,IE_001:p20; IE_001:p20,RESP_IRLANDA_Q02_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,rag-country-v3.2,3.0
japao,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional no Japão é abordado através do desenvolvimento de habilidades em tecnologias da informação, compreendendo o uso e a gestão de sistemas de informação, e envolve a formação de perspectivas científicas e práticas em atividades de aprendizado.",candidate,2,EVID_JAPAO_Q02_JP_002_P0001_001; EVID_JAPAO_Q02_JP_002_P0001_002,JP_002,JP_002:p1; JP_002:p1,RESP_JAPAO_Q02_20260912T143439Z,RUN_JAPAO_20260912T143439Z,rag-country-v3.2,3.0
nova-zelandia,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo de tecnologia da Nova Zelândia, onde é essencial para alunos nos anos 1 a 10 alcançarem resultados progressivos definidos até o final do ano 10, especialmente em áreas de tecnologias digitais. A abordagem é integrada, não isolada, e busca conectar o aprendizado de tecnologia com outras áreas do currículo.",candidate,2,EVID_NOVA_ZELANDIA_Q02_NZ_001_P0014_001; EVID_NOVA_ZELANDIA_Q02_NZ_001_P0004_002,NZ_001,NZ_001:p14; NZ_001:p4,RESP_NOVA_ZELANDIA_Q02_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,rag-country-v3.2,3.0
quenia,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo do Quênia como parte do ensino de habilidades digitais e tecnologia, fundamentais para a educação de qualidade e o desenvolvimento de competências para o século XXI.",candidate,2,EVID_QUENIA_Q02_KE_001_P0054_001; EVID_QUENIA_Q02_KE_001_P0024_002,KE_001,KE_001:p54; KE_001:p24,RESP_QUENIA_Q02_20260912T143913Z,RUN_QUENIA_20260912T143913Z,rag-country-v3.2,3.0
reino-unido,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é definido como um conjunto de princípios e conceitos fundamentais, incluindo abstração, lógica, algoritmos e representação de dados, que são ensinados aos alunos do Reino Unido ao longo do currículo nacional de computação. O desenvolvimento desse pensamento envolve a análise de problemas em termos computacionais e a experiência prática em programação para resolvê-los.",candidate,2,EVID_REINO_UNIDO_Q02_UK_001_P0001_001; EVID_REINO_UNIDO_Q02_UK_002_P0001_002,UK_001; UK_002,UK_001:p1; UK_002:p1,RESP_REINO_UNIDO_Q02_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,rag-country-v3.2,3.0
ruanda,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é abordado no currículo de Ruanda através do ensino de Tecnologias da Informação e Comunicação (TIC), onde os alunos são incentivados a aplicar habilidades tecnológicas para resolver problemas, desenvolvendo o pensamento crítico e a capacidade de raciocínio lógico. O currículo busca integrar essas habilidades em atividades práticas dentro do ambiente escolar.",candidate,2,EVID_RUANDA_Q02_RW_001_P0009_001; EVID_RUANDA_Q02_RW_001_P0018_002,RW_001,RW_001:p9; RW_001:p18,RESP_RUANDA_Q02_20260912T144341Z,RUN_RUANDA_20260912T144341Z,rag-country-v3.2,3.0
singapura,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é desenvolvido no currículo de Singapura através do ensino sistemático na disciplina de Computação de nível O, onde os alunos aprendem a resolver problemas, formular passos e escrever programas.",candidate,2,EVID_SINGAPURA_Q02_SG_002_P0001_001; EVID_SINGAPURA_Q02_SG_002_P0004_002,SG_002,SG_002:p1; SG_002:p4,RESP_SINGAPURA_Q02_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z,rag-country-v3.2,3.0
suica,Q02,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo da Suíça como uma competência transversal que deve ser desenvolvida ao longo da escola obrigatória. Na proposta curricular, o Pensamento Computacional é abordado no contexto de alfabetização em tecnologia e media, integrando-se a várias disciplinas, especialmente em Matemática, onde se exploram conceitos através da construção de algoritmos.",candidate,2,EVID_SUICA_Q02_CH_002_P0001_001; EVID_SUICA_Q02_CH_002_P0001_002,CH_002,CH_002:p1; CH_002:p1,RESP_SUICA_Q02_20260912T144840Z,RUN_SUICA_20260912T144840Z,rag-country-v3.2,3.0
